UniqueID,PeriodName,PeriodNumber,Date,Injury,Position,FieldTime,PlayerLoad,PlayerLoad2d,PlayerLoadSlow,PlayerLoad1dFwd,PlayerLoad1dSide,PlayerLoad1dUp,PlayerLoadMin,PlayerLoadMetre,ExertionIndex,PeakPlayerLoad
3945,5v5 Small Field,4,1/13/2022,N,Forward,0:14:33,177.0130,106.3573,176.9844,58.9470,75.8956,122.5966,12.1636,0.0000,0.5645,5.2595
4860,Session,0,1/13/2022,N,Forward,0:40:06,296.2292,197.8876,295.5886,115.6940,136.5182,189.4317,7.3797,140.5261,0.8085,4.0687
4860,Warm Up,1,1/13/2022,N,Forward,0:09:42,51.9819,33.4868,51.8067,19.6141,23.1125,34.3616,5.3533,0.0000,0.0000,2.1161
4860,Technical Passing,2,1/13/2022,N,Forward,0:08:39,63.4179,41.4659,63.1700,24.3037,28.6824,41.5195,7.3175,0.0000,0.0000,2.6991
4860,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,0:07:12,59.9312,41.3435,59.8833,24.0186,28.4986,36.9374,8.3107,28.4303,0.2684,3.4040
4860,5v5 Small Field,4,1/13/2022,N,Forward,0:14:33,120.8982,81.5914,120.7287,47.7576,56.2247,76.6132,8.3076,0.0000,0.5401,4.0687
5957,Session,0,1/13/2022,N,Forward,0:40:06,380.7774,232.5204,380.3742,132.6878,162.5845,261.2402,9.4860,1081.7504,1.5352,4.4128
5957,Warm Up,1,1/13/2022,N,Forward,0:09:42,61.2615,36.5477,61.2143,19.9850,26.4351,42.6694,6.3089,0.0000,0.3764,2.6416
5957,Technical Passing,2,1/13/2022,N,Forward,0:08:39,80.8219,48.3728,80.5307,27.2574,33.9351,56.0821,9.3256,229.6070,0.3257,3.5271
5957,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Forward,0:07:12,79.1315,50.0687,79.1063,28.7210,34.9595,52.9810,10.9732,0.0000,0.2800,4.4128
5957,5v5 Small Field,4,1/13/2022,N,Forward,0:14:33,159.5625,97.5312,159.5228,56.7244,67.2549,109.5076,10.9645,0.0000,0.5532,4.2311
8662,Session,0,1/13/2022,N,Midfielder,0:37:44,390.9805,228.6594,389.8807,117.3781,170.8925,273.5351,10.3518,0.0000,0.0000,5.6489
8662,Warm Up,1,1/13/2022,N,Midfielder,0:09:42,69.7263,40.2086,69.4842,20.8066,29.9435,49.0534,7.1806,0.0000,0.0000,2.7397
8662,Technical Passing,2,1/13/2022,N,Midfielder,0:06:17,61.4639,34.1613,61.1958,17.1403,25.8027,44.4118,9.7639,0.0000,0.0000,3.1104
8662,3v3+1 Zone Passing to Pugg,3,1/13/2022,N,Midfielder,0:07:12,75.8820,47.0634,75.5755,24.0263,35.3580,50.7975,10.5226,0.0000,0.0000,2.8372
8662,5v5 Small Field,4,1/13/2022,N,Midfielder,0:14:33,183.9083,107.2262,183.6252,55.4049,79.7884,129.2724,12.6374,0.0000,0.0000,5.6489
